feature,lower_bound,upper_bound,outlier_count,outlier_rate_pct
Admissions,1.0,49.0,75,0.4280821917808219
Discharges,-7.5,52.5,63,0.3595890410958904
Nurses,8.0,64.0,170,0.9703196347031963
Staff_On_Duty,15.5,115.5,112,0.6392694063926941
Emergency_Cases,8.0,48.0,76,0.4337899543378996
Bed_Occupancy_Rate,44.081250000000026,105.01124999999998,7,0.039954337899543384
