label,precision,recall,f1-score,support
High,1.0,1.0,1.0,108.0
Low,1.0,1.0,1.0,2692.0
Moderate,1.0,1.0,1.0,1580.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,4380.0
weighted avg,1.0,1.0,1.0,4380.0
