feature,method,rmse,mae,distribution_drift,bias,absolute_bias,variance,execution_time_seconds,downstream_model_accuracy,masked_values
ICU_Beds,Mean,7.572435232668645,6.610529119318181,6.610529119318182,-1.0336174242424236,1.0336174242424236,5.048709793414476e-29,0.026665200000024925,0.655,192
General_Beds,Mean,36.875939969893814,30.819498697916668,30.819498697916664,1.5783617424242398,1.5783617424242398,2.0194839173657902e-28,0.026665200000024925,0.655,192
Emergency_Beds,Mean,10.51452805434155,9.021010890151516,9.021010890151516,-2.1321022727272734,2.1321022727272734,5.048709793414476e-29,0.026665200000024925,0.655,192
Occupied_Beds,Mean,30.131389581770758,24.354817708333332,24.354817708333336,-0.9000946969696934,0.9000946969696934,8.077935669463161e-28,0.026665200000024925,0.655,192
Available_Beds,Mean,22.127960811098944,17.129283558238637,17.129283558238633,-3.03101325757576,3.03101325757576,5.048709793414476e-29,0.026665200000024925,0.655,192
Admissions,Mean,8.815641505045958,6.895211884469696,6.8952118844696955,2.1553030303030294,2.1553030303030294,5.048709793414476e-29,0.026665200000024925,0.655,192
Discharges,Mean,9.948674382588521,8.000621448863635,8.000621448863638,0.5615530303030299,0.5615530303030299,5.048709793414476e-29,0.026665200000024925,0.655,192
Doctors,Mean,2.6204833719713805,1.9885919744318183,1.9885919744318183,-0.211410984848485,0.211410984848485,3.1554436208840472e-30,0.026665200000024925,0.655,192
Nurses,Mean,9.62734071747565,7.900390625,7.900390625000001,1.2630208333333333,1.2630208333333333,0.0,0.026665200000024925,0.655,192
Staff_On_Duty,Mean,16.96296491644877,13.582253196022728,13.582253196022727,-1.6529356060605995,1.6529356060605995,0.0,0.026665200000024925,0.655,192
Average_Length_of_Stay,Mean,1.1032255268050746,0.8972553415009469,0.8972553415009472,0.005423768939393334,0.005423768939393334,0.0,0.026665200000024925,0.655,192
Emergency_Cases,Mean,7.223131014175397,5.755755800189394,5.7557558001893945,-0.1799242424242433,0.1799242424242433,5.048709793414476e-29,0.026665200000024925,0.655,192
Covid_Cases,Mean,5.251946214772305,4.46414092092803,4.464140920928031,-0.05374053030302998,0.05374053030302998,7.888609052210118e-31,0.026665200000024925,0.655,192
ICU_Beds,Median,7.633192320386013,6.630208333333333,6.630208333333334,-1.4114583333333333,1.4114583333333333,0.0,0.021116300000358024,0.66,192
General_Beds,Median,37.158514614194864,29.963541666666668,29.963541666666668,-4.838541666666667,4.838541666666667,0.0,0.021116300000358024,0.66,192
Emergency_Beds,Median,10.494542232354238,9.0,9.0,-2.03125,2.03125,0.0,0.021116300000358024,0.66,192
Occupied_Beds,Median,30.41269951297758,24.161458333333332,24.161458333333336,-4.223958333333333,4.223958333333333,0.0,0.021116300000358024,0.66,192
Available_Beds,Median,22.509373047688378,17.328125,17.328124999999996,-5.119791666666667,5.119791666666667,0.0,0.021116300000358024,0.66,192
Admissions,Median,8.76724491122116,6.854166666666667,6.854166666666666,1.9479166666666667,1.9479166666666667,0.0,0.021116300000358024,0.66,192
