model,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean
Decision Tree,1.0,0.0,1.0
Gradient Boosting,1.0,0.0,1.0
XGBoost,1.0,0.0,1.0
AdaBoost,1.0,0.0,1.0
Random Forest,0.9968000397519535,0.000748021916417896,0.9967060655364582
Logistic Regression,0.9740005180236461,0.004104748207195367,0.9736072279415692
Support Vector Machine,0.9352004749110202,0.0019439321178928225,0.9336751457392719
Extra Trees,0.8765995900459765,0.0032767855903090707,0.8709422718957188
